Verb,Beginning,Completion,DO/PO,Freaky,,,,,DO,PO
awarded, -The mayor awarded,the woman a medal.,DO,,,,,,144,242
awarded, -The teacher awarded,the eager student a certificate of accomplishment..,DO,,,,,,,
awarded, -The principal awarded,a trophy to the girl.,PO,,,,,,,
awarded, -The teacher awarded,the boy a certificate.,DO,,,,,,,
awarded, -The mayor awarded,the first place runner his medal.,DO,,,,,,,
awarded, -The principal awarded,the little girl a trophy. ,DO,,,,,,,
awarded, -The mayor awarded,the winner with a medal. ,DO,,,,,,,
awarded, -The principal awarded,the girl a trophy.,DO,,,,,,,
awarded, -The mayor awarded,the champion ,X,,,,,,,
awarded, -The principal awarded,the young student with a trophey for winning the spelling bee,DO,with,,,,,,
awarded, -The teacher awarded,the student with an award. ,DO,with,,,,,,
awarded, -The teacher awarded,the boy a certificate,DO,,,,,,,
awarded, -The mayor awarded,the first place award to the competitor.,PO,,,,,,,
awarded, -The principal awarded,the girl with a trophy. ,DO,with,,,,,,
awarded, -The principal awarded,a trophy to the student.,PO,,,,,,,
awarded, -The mayor awarded,the player with a medals.,DO,with,,,,,,
awarded, -The principal awarded,the little girl with a trophy,DO,with,,,,,,
awarded, -The teacher awarded,the student with a certificate.,DO,with,,,,,,
awarded, -The principal awarded,a prize to the girl,PO,,,,,,,
awarded, -The mayor awarded,the Gold medall to the contestant,PO,,,,,,,
awarded, -The teacher awarded,the student. ,X,,,,,,,
awarded, -The teacher awarded,the student an exemplary grade on his homework she was returning.,DO,,,,,,,
awarded, -The principal awarded,the young girl with a trophy.,DO,with,,,,,,
awarded, -The mayor awarded,the athlete a medal,DO,,,,,,,
awarded, -The teacher awarded,the student with the stripped shirt,X,,,,,,,
awarded, -The mayor awarded,the boy a first place metal,DO,,,,,,,
awarded, -The principal awarded,the girl a trophy.,DO,,,,,,,
awarded, -The mayor awarded,a medal to an athlete,PO,,,,,,,
awarded, -The principal awarded,the young student a trophy.,DO,,,,,,,
awarded, -The teacher awarded,his student a certificate.,DO,,,,,,,
awarded, -The principal awarded,the little girl with a trophy,DO,with,,,,,,
awarded, -The mayor awarded,the Olympian first place ,DO,,,,,,,
awarded, -The mayor awarded,the athlete first place,DO,,,,,,,
awarded, -The teacher awarded,the student with a first place certificate. ,DO,with,,,,,,
awarded, -The teacher awarded,the student with a certificate. ,DO,with,,,,,,
brought, -The waitress brought,the man a menu.,DO,,,,,,,
brought, -The boy brought,a pencil for his mother who was in the living room.,PO,,,,,,,
brought, -The waitress brought,a pizza to the customer at the table.,PO,,,,,,,
brought, -The boy brought,a pencil to his mother.,PO,,,,,,,
brought, -The waitress brought,the customer one menu since his blind date was running late.,DO,,,,,,,
brought, -The waitress brought,pizza to the woman sitting by herself in the striped shirt. ,PO,,,,,,,
brought, -The waitress brought,a menu to the gentleman dining by himself.,PO,,,,,,,
brought, -The waitress brought,pizza to the customer.,PO,,,,,,,
brought, -The waitress brought,the customer the menu.,DO,,,,,,,
brought, -The waitress brought,the customer a medium sized pizza,DO,,,,,,,
brought, -The boy brought,a pencil to a woman with her hand behind her back.,PO,,,,,,,
brought, -The boy brought,a pencil to his mother,PO,,,,,,,
brought, -The waitress brought,the man a menu.,DO,,,,,,,
brought, -The waitress brought,a pizza to the customer. ,PO,,,,,,,
brought, -The waitress brought,the lady her pizza.,DO,,,,,,,
brought, -The waitress brought,menu over to the customer.,PO,"""over to""",,,,,,
brought, -The waitress brought,a giant cookie,X,,,,,,,
brought, -The boy brought,a pencil to his mother in their living room.,PO,,,,,,,
