Verb,Beginning,Completion,DO/PO,Freaky,,,,,,,,,,,,,,,,,,,
awarded, -The teacher awarded,the student ,X,,,,,,,,,,,,,,,,,,,,
awarded, -The principal awarded,a little girl,X,,,,,,,,,,,,,,,,,,,,
awarded, -The mayor awarded,a gold prize to the winner,PO,,,,,,,,,,,,,,,,,,,,
awarded, -The mayor awarded,to a man who won,X,,,,,,,,,,,,,,,,,,,,
awarded, -The principal awarded,little girl.,X,,,,,,,,,,,,,,,,,,,,
awarded, -The teacher awarded,to his student.,X,,,,,,,,,,,,,,,,,,,,
awarded, -The principal awarded,the prize to the winner,PO,,,,,,,,,,,,,,,,,,,,
awarded, -The teacher awarded,the student,X,,,,,,,,,,,,,,,,,,,,
awarded, -The teacher awarded,a prize,X,,,,,,,,,,,,,,,,,,,,
awarded, -The mayor awarded,medal to a player,PO,,,,,,,,,,,,,,,,,,,,
awarded, -The teacher awarded,a prize to a child.,PO,,,,,,,,,,,,,,,,,,,,
awarded, -The mayor awarded,gold madal to player,PO,,,,,,,,,,,,,,,,,,,,
awarded, -The teacher awarded,to a child.,X,,,,,,,,,,,,,,,,,,,,
awarded, -The principal awarded,who win the prize,X,,,,,,,,,,,,,,,,,,,,
awarded, -The principal awarded,a prize to a girl.,PO,,,,,,,,,,,,,,,,,,,,
awarded, -The mayor awarded,medal for player,X,? Diff preposition,,,,,,,,,,,,,,,,,,,
awarded, -The principal awarded,to a student.,X,,,,,,,,,,,,,,,,,,,,
awarded, -The mayor awarded,a medal to an athlete who won the first prize.,PO,,,,,,,,,,,,,,,,,,,,
awarded, -The teacher awarded,a prize to student.,PO,,,,,,,,,,,,,,,,,,,,
awarded, -The principal awarded,the student who happily receive the trophy.,X,,,,,,,,,,,,,,,,,,,,
awarded, -The mayor awarded,a medal to the winner,PO,,,,,,,,,,,,,,,,,,,,
awarded, -The teacher awarded,the boy,X,,,,,,,,,,,,,,,,,,,,
awarded, -The mayor awarded,the athletic the 1st medal.,DO,,,,,,,,,,,,,,,,,,,,
awarded, -The mayor awarded,first prize to the winner,PO,,,,,,,,,,,,,,,,,,,,
awarded, -The teacher awarded,a prize to him,PO,Pronoun,,,,,,,,,,,,,,,,,,,
