#,lemma,Verb form,Concordance,Hit?,Construction,comments,TA,FREAK,Coments
141,afford,affords,"Considerable teachers agreed with the fact that physical punishment affords them enough time to deal with bullies, while teaching class",1,DO,,simple_present,,
280,allow,allow,"Because if we allow physical punishment to some schools and not allow others, there could be confusion in all schools",1,PO,,simple_present,,
281,allow,allow,"But if we not allow physical punishment to schools, teachers are hard to teach students who not kept the rules of schools",1,PO,,simple_present,,
345,allow,allow,"If not, there is no wrong problems though the school allow the physical punishment to the teachers",1,PO,,simple_present,,
2083,ask,ask,"In korea, most of Internet sites ask us our name and our citizen registration number at registration",1,DO,,simple_present,,
2085,ask,ask,But I want to ask them this question,1,DO,,infinitive,,
2098,ask,ask,"So, I often ask my physic teacher and chemistry teacher some questions about their subject and industry",1,DO,,simple_present,,
2103,ask,ask,"When I can't make it, I go to her and ask her the problem",1,DO,,simple_present,,
2109,ask,ask,"I want to ask them this question : Which one do you think is more important, your dog(animals) or your life(human)",1,DO,,infinitive,,
2129,ask,ask,And my friends sometimes ask math questions to me and that makes me confident,1,PO,,simple_present,,
2134,ask,ask,compulsory military is national damage and he can ask military helps to other countries,1,PO,,infinitive,,
2156,ask,ask,My friends used to ask me many difficult math problems,1,DO,,infinitive,,
2157,ask,ask,"as person who raise animals, i want to ask one thing to antagonist ""are you vegiterian? if not, you are one of system which kill and abuse animals",1,PO,,infinitive,,
2170,ask,ask,"To be specific, when she go into a classroom, she says hello and ask a few questions about the late learning things to a one row students",1,PO,,simple_present,,
2172,ask,ask,"In fact, whenever I ask him a math problem reiteratively, he gives me a tip for that problem very accurately",1,DO,,simple_present,,
2191,ask,ask,"We entered the classroom and teacher was about to ask me the reason why I was late, suddenly he said that I was late because of him",1,DO,,infinitive,,
2118,ask,asked,Based on that I prepared exams and asked many things to teachers,1,PO,,simple_past,,
2121,ask,asked,My friends asked a lot of questions about math to me because I'm good at that,1,PO,,simple_past,,
2123,ask,asked,"If he had problems, He usually asked me a recipe to work out the problems",1,DO,,simple_past,,
2204,ask,asked,"Whenever i asked him my questions, he gave me proper answers",1,DO,,simple_past,,
2208,ask,asked,I asked him so many questions in English and we feel like each other just as a friend,1,DO,,simple_past,,
2216,ask,asked,"When I asked the math question to him, he always gave the solution to me so kindly",1,PO,,simple_past,,
2220,ask,asked,My friend asked me a difficult math question,1,DO,,simple_past,,
2243,ask,asked,"He often asked us questions those were irrelevant to SAT problems, but which can provoke our curiosity and can make us to get interested in biology",1,DO,,simple_past,,
2255,ask,asked,"So I asked my German teacher some advice and many questions, especially about grammar",1,DO,,simple_past,,
2279,ask,asked,"I asked her many question and favor, then She responed very kind",1,DO,,simple_past,,
2287,ask,asking,"It's not like asking smokers to never smoke again, just asking them a favor to smoke somewhere non-smokers are not right beside them",1,DO,,present_progressive,,
2305,ask,asks,"Whenever she takes lectures in university, she takes notes and asks questions to professor",1,PO,,simple_past,,
2308,ask,asks,"Third, she wants to know about students and asks us a lot of questions",1,DO,,simple_past,,
2312,assign,assigning,"For example, by establishing panalty card system, assigning them extra homeworks or making them do school chores",1,DO,,present_progressive,,
2322,assure,assure,"To assure the right of animal's lives a little space, we just can confine the range that the drug using animal and number of animal being used in experiment",1,DO,,infinitive,,
2375,buy,bought,He often bought me an ice cream,1,DO,,simple_past,,
2376,buy,bought,So my mother bought me books that world's most important novel set,1,DO,,simple_past,,
2391,buy,bought,So my parents bought me a cell phone,1,DO,,simple_past,,
2426,buy,bought,"Three years ago, when I was about to leave my house for studying in a boarding school, my younger brother bought me a watch for a present",1,DO,,infinitive,,
2434,buy,bought,"However, after that, my mother bought me a CD of the performance",1,DO,,simple_past,,
2477,buy,bought,He bought many food to his friend and he overlook the fault which his friend commit and forgive his friend very kindly,1,PO ,,simple_past,,
2485,buy,bought,All of my family exept mom brought some money and bought the tree to my mom,1,PO ,,simple_past,,
2487,buy,bought,Bacayse my grandma bought me this robot,1,DO,,simple_past,,
2488,buy,bought,"And the next day I had the exam, my father took me to the musical instrument store and bought me a guitar",1,DO,,simple_past,,
2491,buy,bought,Also he bought us ice cream very often to make us happy,1,DO,,simple_past,,
2507,bring,bring,"however, Oneday my father bring us airplan ticket for Jeju island",1,DO,,simple_present,,
2509,bring,bring,It is like a superstition that it will bring luck to me,1,PO ,,simple_future,,
2521,bring,bring,"Unless animals should be used in, medical experiments should be used in people, it will bring the worst conclusion to people",1,PO ,,simple_future,,
2524,bring,bring,"However If they consider numerous patients and their family who are in the press, they can't say ""Don't use animals for medical experiments that can bring a new life and happiness and hope to patients and their family",1,PO ,,infinitive,,
2526,bring,bring,"Physical punishment can bring not only physical harm, but also mental harm to children",1,PO ,,infinitive,,
2529,bring,bring,"Or, for some bigger deliquency, they can make students to bring their parents to school",1,PO ,,infinitive,,
2536,bring,bring,"Or having a job, studying in the university bring much more values to society than having military service",1,PO ,,simple_present,,
2539,bring,bring,But when they smell of smoking it bring them declining of energy to concentrate on the jobs,1,DO,,simple_present,,
2543,bring,bring,"However, in contrast to this opinion, I strongly think that smoking in all public buildings should be banned because smoking would harm to many people although the places to smoke is made, and smoking in public buildings will bring negative effect in working environment",1,PO ,,present_progressive,,
2548,bring,bring,Smokers' right to smoke anywhere can bring harmful results to other people's well-being,1,PO ,,infinitive,,
2550,bring,bring,and their stress that physical punishment gives may bring them worst situation,1,DO,,infinitive,,
