type,item,verb,picture url,Construction,Objects,sentence fragment,height
prime,give1D,give,http://i57.tinypic.com/8yumwp.jpg,DO,,The girl gave the teacher,350
prime,throw1D,throw,http://i60.tinypic.com/2qtvcr8.jpg,DO,,The boy threw the girl,350
prime,pass1D,pass,http://i60.tinypic.com/24m5jqt.jpg,DO,,The boy passed the girl,350
prime,award1D,award,http://i59.tinypic.com/2z9icgl.jpg,DO,,The president awarded the athlete,350
prime,pay1D,pay,http://i61.tinypic.com/2ups3kh.jpg,DO,,The driver paid the parking officer,350
prime,sell1D,sell,http://i57.tinypic.com/152ytz8.jpg,DO,,The salesman sold the man,350
prime,send1D,send,http://i62.tinypic.com/wgypzq.jpg,DO,,The girl sent her mom,350
prime,write1D,write,http://i57.tinypic.com/2aes5mf.jpg,DO,,The boy wrote his mother,350
prime,bring1D,bring,http://i62.tinypic.com/x5cpqc.jpg,DO,,The waitress brought the guest,350
prime,give2D,give,http://i59.tinypic.com/29cb5v6.jpg,DO,,The nurse gave the patient ,350
prime,throw2D,throw,http://i57.tinypic.com/sox215.jpg,DO,,The woman threw the dog,350
prime,pass2D,pass,http://i62.tinypic.com/125tk5c.jpg,DO,,The husband passed the wife,350
prime,award2D,award,http://i58.tinypic.com/2l88br.jpg,DO,,The principal awarded a student,350
prime,pay2D,pay,http://i62.tinypic.com/o73urb.jpg,DO,,The boss paid the employee,350
prime,sell2D,sell,http://i58.tinypic.com/2wgfxhh.jpg,DO,,The man sold the girl,350
prime,send2D,send,http://i57.tinypic.com/c16kz.jpg,DO,,The girl sent the grandmother,350
prime,write2D,write,http://i61.tinypic.com/2r5su88.jpg,DO,,The queen wrote the princess,350
prime,bring2D,bring,http://i60.tinypic.com/2pzb4if.jpg,DO,,The waitress brought the man,350
prime,give3D,give,http://i62.tinypic.com/j59pas.jpg,DO,,The man gave the girl,350
prime,throw3D,throw,http://i57.tinypic.com/9jduuc.jpg,DO,,The zookeeper threw the monkey,350
prime,pass3D,pass,http://i58.tinypic.com/2u94ikh.jpg,DO,,The painter passed the carpenter,350
prime,award3D,award,http://i61.tinypic.com/ohjpg2.jpg,DO,,The mayor awarded the student,350
prime,pay3D,pay,http://i57.tinypic.com/24v085d.jpg,DO,,The man paid the taxi driver ,350
prime,sell3D,sell,http://i61.tinypic.com/29xxa3d.jpg,DO,,The woman sold a man,350
prime,send3D,send,http://i61.tinypic.com/30bjqlv.jpg,DO,,The boy sent the girl friend,350
prime,write3D,write,http://i62.tinypic.com/25t7o1s.jpg,DO,,The fan wrote the singer,350
prime,bring3D,bring,http://i62.tinypic.com/2w50w05.jpg,DO,,The boy brought the mother,450
prime,give1P,give,http://i57.tinypic.com/8yumwp.jpg,PO,,The girl gave the flowers,350
prime,throw1P,throw,http://i60.tinypic.com/2qtvcr8.jpg,PO,,The boy threw the boy,350
prime,pass1P,pass,http://i60.tinypic.com/24m5jqt.jpg,PO,,The boy passed the jug,350
prime,award1P,award,http://i59.tinypic.com/2z9icgl.jpg,PO,,The president awarded the medal,350
prime,pay1P,pay,http://i61.tinypic.com/2ups3kh.jpg,PO,,The driver paid $5,350
prime,sell1P,sell,http://i57.tinypic.com/152ytz8.jpg,PO,,The salesman sold the car,350
prime,send1P,send,http://i62.tinypic.com/wgypzq.jpg,PO,,The girl sent the postcard,350
prime,write1P,write,http://i57.tinypic.com/2aes5mf.jpg,PO,,The boy wrote the text message,350
prime,bring1P,bring,http://i62.tinypic.com/x5cpqc.jpg,PO,,The waitress brought the menu,350
prime,give2P,give,http://i59.tinypic.com/29cb5v6.jpg,PO,,The nurse gave the medicine,350
prime,throw2P,throw,http://i57.tinypic.com/sox215.jpg,PO,,The woman threw the bone,350
prime,pass2P,pass,http://i62.tinypic.com/125tk5c.jpg,PO,,The husband passed the glass,350
prime,award2P,award,http://i58.tinypic.com/2l88br.jpg,PO,,The principal awarded the trophy,350
prime,pay2P,pay,http://i62.tinypic.com/o73urb.jpg,PO,,The boss paid $5000,350
prime,sell2P,sell,http://i58.tinypic.com/2wgfxhh.jpg,PO,,The man sold the hotdog,350
prime,send2P,send,http://i57.tinypic.com/c16kz.jpg,PO,,The girl sent a Christmas card,350
prime,write2P,write,http://i61.tinypic.com/2r5su88.jpg,PO,,The queen wrote a note,350
prime,bring2P,bring,http://i60.tinypic.com/2pzb4if.jpg,PO,,The waitress brought the pizza,350
prime,give3P,give,http://i62.tinypic.com/j59pas.jpg,PO,,The man gave the present,350
prime,throw3P,throw,http://i57.tinypic.com/9jduuc.jpg,PO,,The zookeeper threw the banana,350
prime,pass3P,pass,http://i58.tinypic.com/2u94ikh.jpg,PO,,The painter passed the hammer,350
prime,award3P,award,http://i61.tinypic.com/ohjpg2.jpg,PO,,The mayor awarded the prize,350
prime,pay3P,pay,http://i57.tinypic.com/24v085d.jpg,PO,,The man paid $20,350
prime,sell3P,sell,http://i61.tinypic.com/29xxa3d.jpg,PO,,The woman sold the T-shirt,350
prime,send3P,send,http://i61.tinypic.com/30bjqlv.jpg,PO,,The boy sent the email,350
prime,write3P,write,http://i62.tinypic.com/25t7o1s.jpg,PO,,The fan wrote a letter,350
prime,bring3P,bring,http://i62.tinypic.com/2w50w05.jpg,PO,,The boy brought the pencil,350
prime,intransitive1,laugh,http://i57.tinypic.com/jq56xg.jpg,neutral,girl,The girl   ,350
prime,intransitive2,smile,http://i59.tinypic.com/2aka2qx.jpg,neutral,lady,The lady  ,350
prime,intransitive3,sneeze,http://i62.tinypic.com/2ntv96a.jpg,neutral,woman,The woman  ,350
prime,intransitive4,camp,http://i61.tinypic.com/2ebv37s.jpg,neutral,man,The man   ,350
prime,intransitive5,cry,http://i58.tinypic.com/nv4cns.jpg,neutral,kid,The kid  ,350
prime,intransitive6,crawl,http://i60.tinypic.com/2hdvcqp.jpg,neutral,baby,The baby  ,350
prime,intransitive7,hide,http://i58.tinypic.com/21libg4.jpg,neutral,boy,The boy  ,350
prime,intransitive8,fall,http://i60.tinypic.com/2dhwt9g.jpg,neutral,boy,The boy   ,350
prime,intransitive9,skip,http://i59.tinypic.com/339smmd.jpg,neutral,man,The man   ,350
target,show1,show,http://i57.tinypic.com/6yz33q.jpg,?,"man, evidence(gun), judge",The man showed,350
target,show2,show,http://i59.tinypic.com/24evx1j.jpg,?,"cowboy, hat, clown",The cowboy showed,350
target,show3,show,http://i58.tinypic.com/264m24h.jpg,?,"woman, dress, man",The woman showed,350
target,show4,show,http://i58.tinypic.com/25p22xu.jpg,?,"boy, watch, friend(boy)",The boy showed,350
target,show5,show,http://i57.tinypic.com/2rxi4y1.jpg,?,"girl, picture, teacher",The girl showed,350
target,show6,show,http://i62.tinypic.com/2wmg9de.jpg,?,"boy, test, mom",The boy showed,350
target,show7,show,http://tinypic.com/view.php?pic=20fe052&s=8#.VMA67y7F92c,?,"man, necklace, girl friend",The man showed,450
target,show8,show,http://i60.tinypic.com/2jecub.jpg,?,"saleswoman, skirt, girl",The saleswoman showed,350
target,show9,show,http://i61.tinypic.com/303bi9z.jpg,?,"toddler, toy, father",The toddler showed,450
target,hand1,hand,http://i60.tinypic.com/9g9b7r.jpg,?,"boy, guitar, singer",The boy handed,350
target,hand2,hand,http://i62.tinypic.com/34e9eti.jpg,?,"girl, letter, boy",The girl handed,450
target,hand3,hand,http://i57.tinypic.com/ad0t43.jpg,?,"girl, brush, boy",The girl handed,350
target,hand4,hand,http://i59.tinypic.com/358clqa.jpg,?,"girl, mug(cup), boy",The girl handed,350
target,hand5,hand,http://i59.tinypic.com/aebnrq.jpg,?,"girl, box, boy ",The girl handed,350
target,hand6,hand,http://i57.tinypic.com/2945ez9.jpg,?,"mom, cookie, boy",The mom handed,350
target,hand7,hand,http://i59.tinypic.com/igjnfm.jpg,?,"boy, bucket, friend(boy)",The boy handed,350
target,hand8,hand,http://i57.tinypic.com/25fhrib.jpg,?,"librarian, book, boy",The librarian handed,350
target,hand9,hand,http://i61.tinypic.com/aywnm1.jpg,?,"girl, book, boy",The girl handed,350
target,offer1,offer,http://i60.tinypic.com/2gsfhc7.jpg,?,"girl, flowers, teacher",The girl offered,350
target,offer2,offer,http://i61.tinypic.com/1zg96wx.jpg,?,"waitress, drink, man",The waitress offered,350
target,offer3,offer,http://i60.tinypic.com/1zn8l81.jpg,?,"boy, valentine, girl",The boy offered,350
target,offer4,offer,http://i58.tinypic.com/2qscnpf.jpg,?,"boy, apple, teacher",The boy offered,350
target,offer5,offer,http://i62.tinypic.com/k29o9.jpg,?,"waitress, sandwich, man",The waitress offered,350
target,offer6,offer,http://i61.tinypic.com/2rfa2cz.jpg,?,"clown, balloon, girl",The clown offered,350
target,offer7,offer,http://i57.tinypic.com/2ms3mnb.jpg,?,"woman, bag, man",The woman offered,350
target,offer8,offer,http://i57.tinypic.com/2n71m5c.jpg,?,"boy, candy, girl",The boy offered,350
target,offer9,offer,http://i57.tinypic.com/2n71m5c.jpg,?,"girl, pineapple boy",The girl offered,450
filler,filler1,clap,http://i57.tinypic.com/dqh40.jpg,neutral,The girl is ,The girl  ,350
